Timestamp,Status
0,Booting
942,Setup completed
4714,Sensor reading complete
196125,Wifi initialized
196257,Message sent
250886,WiFi turned off
251143,Entering deep sleep
0,Booting
919,Setup completed
4715,Sensor reading complete
188498,Wifi initialized
188595,Message sent
243199,WiFi turned off
243456,Entering deep sleep
0,Booting
951,Setup completed
4837,Sensor reading complete
196173,Wifi initialized
196277,Message sent
250901,WiFi turned off
251199,Entering deep sleep
0,Booting
942,Setup completed
4714,Sensor reading complete
196125,Wifi initialized
196257,Message sent
250886,WiFi turned off
251143,Entering deep sleep
0,Booting
919,Setup completed
4715,Sensor reading complete
188498,Wifi initialized
188595,Message sent
243199,WiFi turned off
243456,Entering deep sleep
0,Booting
945,Setup completed
4718,Sensor reading complete
188192,Wifi initialized
188290,Message sent
242894,WiFi turned off
243151,Entering deep sleep
0,Booting
919,Setup completed
4712,Sensor reading complete
188498,Wifi initialized
188595,Message sent
243199,WiFi turned off
243456,Entering deep sleep
